match_id,card_type,player_name, minute
match131,Yellow,Joan Jordán,60
match131,Yellow,Giannelli Imbula,46
match131,Yellow,Pape Diop,38
match131,Yellow,Raúl de Tomás,19
match132,Yellow,Rubén Blanco,59
match132,Yellow,Xabier Etxeita,37
match132,Yellow,Sofiane Boufal,32
match132,Yellow,Damián Musto,31
match132,Yellow,Juan Camilo Hernández Suárez,29
match133,Yellow,David López Silva,77
match133,Yellow,Jaime Mata,58
match133,Yellow,Nemanja Maksimović,21
match133,Yellow,Amath Ndiaye,18
match133,Yellow,Hernán Arsenio Pérez,14
match134,Yellow,Dani Ceballos,71
match134,Yellow,José Luis Gayà,20
match134,Yellow,Carlos Soler,11
match134,Yellow,Gabriel Paulista,6
match135,Yellow,Allan Romeo Nyom,78
match135,Yellow,Jonathan Silva,62
match135,Yellow,Rubén Pérez del Mármol,15
match136,Yellow,John Guidetti,93
match136,Yellow,Franco Vázquez,84
match136,Yellow,Tomás Pina,55
match136,Yellow,Pablo Sarabia,39
match136,Yellow,Roque Mesa,26
match136,Yellow,Manu García Sánchez,24
match137,Yellow,Alfonso Pedraza,91
match137,Yellow,Pablo Fornals,90
match137,Yellow,Jordi Alba,69
match137,Yellow,Álvaro González Soberón,26
match137,Yellow,Clément Lenglet,18
match137,Yellow,Víctor Ruiz Torre,11
match138,Yellow,Willian José,80
match138,Yellow,William Carvalho,79
match138,Yellow,Aissa Mandi,76
match138,Yellow,Theo Hernández,62
match138,Yellow,Junior Firpo,59
match138,Yellow,Giovani Lo Celso,46
match139,Yellow,Saúl Ñíguez,89
